oiltypeid,oilgradeid,oilhours,machinehours,PQI,Fe,Cu,Cr,Pb,Ni,Al,Si,Na,K,Mo,B,Ba,Mg,Ca,Zn,P,Ag,Mn,V,Ti,Cd,H2O,F,V40,OXI,NIT,SUL,ISO6,ISO14,X6,X10,X14,X21,X25,X38,X70
2-2,15W-40,315.0,9021,3,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,1,43 to 58,1 to 132,<1,571 to 856,1 to 1129,731 to 1096,915,<1,<1,<1,<1,<1,0.0,N,105.2,13,8,18,,,,,,,,,
1-3,85W-140,769.0,4046,20,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,<1,1 to 1129,1 to 366,796,<1,<1,<1,<1,<1,0.0,N,327.4,6,5,16,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,960.0,7965,0,1 to 192,1 to 71,<1,<1,<1,1 to 37,12 to 23,1 to 98,1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,854,<1,<1,<1,<1,<1,0.0,N,102.7,9,4,14,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,728.0,8706,0,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,<1,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,835,<1,<1,<1,<1,<1,0.0,N,103.1,10,4,14,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,619.0,5000,4,1 to 192,1 to 71,1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,<1,<1,571 to 856,1129 to 2257,1096 to 1462,1012,<1,<1,<1,<1,<1,0.0,N,109.8,14,9,21,,,,,,,,,
2-2,15W-40,241.0,10304,3,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,1 to 132,<1,571 to 856,1129 to 2257,1096 to 1462,998,<1,<1,<1,<1,<1,0.0,P,87.1,14,8,19,,,,,,,,,
1-3,85W-140,941.0,8952,11,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,746,<1,<1,<1,<1,<1,0.0,N,316.3,6,5,16,18 to 23,12 to 18,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,349.0,2793,94,192 to 383,1 to 71,3,17 to 33,7 to 13,1 to 37,12 to 23,98 to 195,<1,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1509,<1,<1,<1,<1,<1,0.0,N,85.3,59,4,63,18 to 23,18 to 22,45279 to 60372,19612 to 29418,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,400.0,9323,4,1 to 192,1 to 71,1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,1 to 132,<1,856 to 1140,1129 to 2257,1096 to 1462,1106,<1,<1,<1,<1,<1,0.0,N,116.9,14,8,19,,,,,,,,,
1-1,30,547.0,9095,3,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,1 to 15,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,834,<1,<1,<1,<1,<1,0.0,N,98.5,11,4,15,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,410.0,9382,50,1 to 192,1 to 71,<1,1 to 17,<1,1 to 37,12 to 23,1 to 98,<1,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,748,<1,2,<1,<1,<1,0.0,N,321.6,7,5,16,18 to 23,18 to 22,30186 to 45279,9806 to 19612,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
